date;time;type;value;unit
28/01/2015;09:28:45.871;indoor relative humidity;36.0;%
28/01/2015;09:29:44.274;indoor relative humidity;36.0;%
28/01/2015;09:30:46.377;indoor relative humidity;37.0;%
28/01/2015;09:30:50.697;indoor temperature;21.2;°C
28/01/2015;09:30:55.908;volatile organic compounds;0.06;ppm
28/01/2015;09:31:01.408;carbon dioxide;390;ppm
28/01/2015;09:31:45.689;indoor relative humidity;37.0;%
28/01/2015;09:32:45.472;indoor relative humidity;37.0;%
28/01/2015;09:33:45.994;indoor relative humidity;37.0;%
28/01/2015;09:33:49.494;indoor temperature;21.4;°C
28/01/2015;09:33:54.314;volatile organic compounds;0.02;ppm
28/01/2015;09:33:59.015;carbon dioxide;390;ppm
28/01/2015;09:34:45.866;indoor relative humidity;39.0;%
28/01/2015;09:35:46.689;indoor relative humidity;38.0;%
28/01/2015;09:36:43.991;indoor relative humidity;37.0;%
28/01/2015;09:36:51.682;indoor temperature;21.2;°C
28/01/2015;09:36:54.422;volatile organic compounds;0.03;ppm
28/01/2015;09:37:01.512;carbon dioxide;390;ppm
28/01/2015;09:37:44.574;indoor relative humidity;36.0;%
28/01/2015;09:38:45.396;indoor relative humidity;36.0;%
28/01/2015;09:39:45.708;indoor relative humidity;36.0;%
28/01/2015;09:39:50.099;indoor temperature;21.4;°C
28/01/2015;09:39:54.199;volatile organic compounds;0.03;ppm
28/01/2015;09:39:59.109;carbon dioxide;390;ppm
28/01/2015;09:40:44.891;indoor relative humidity;36.0;%
28/01/2015;09:41:47.093;indoor relative humidity;36.0;%
28/01/2015;09:42:45.077;indoor relative humidity;36.0;%
28/01/2015;09:42:49.387;indoor temperature;21.4;°C
28/01/2015;09:42:54.117;volatile organic compounds;0.03;ppm
28/01/2015;09:42:59.128;carbon dioxide;390;ppm
28/01/2015;09:43:43.979;indoor relative humidity;36.0;%
28/01/2015;09:44:46.692;indoor relative humidity;35.0;%
28/01/2015;09:45:45.694;indoor relative humidity;35.0;%
28/01/2015;09:45:51.414;indoor temperature;21.3;°C
28/01/2015;09:45:54.714;volatile organic compounds;0.04;ppm
28/01/2015;09:46:01.715;carbon dioxide;394;ppm
28/01/2015;09:46:46.986;indoor relative humidity;35.0;%
28/01/2015;09:47:45.091;indoor relative humidity;35.0;%
28/01/2015;09:48:45.083;indoor relative humidity;35.0;%
28/01/2015;09:48:49.893;indoor temperature;21.3;°C
28/01/2015;09:48:54.003;volatile organic compounds;0.04;ppm
28/01/2015;09:48:59.124;carbon dioxide;390;ppm
28/01/2015;09:49:45.276;indoor relative humidity;35.0;%
28/01/2015;09:50:46.579;indoor relative humidity;35.0;%
28/01/2015;09:51:44.301;indoor relative humidity;35.0;%
28/01/2015;09:51:50.791;indoor temperature;21.4;°C
28/01/2015;09:51:55.802;volatile organic compounds;0.04;ppm
28/01/2015;09:52:01.122;carbon dioxide;390;ppm
28/01/2015;09:52:45.294;indoor relative humidity;35.0;%
28/01/2015;09:53:44.776;indoor relative humidity;35.0;%
28/01/2015;09:54:44.889;indoor relative humidity;35.0;%
28/01/2015;09:54:51.210;indoor temperature;21.4;°C
28/01/2015;09:54:54.920;volatile organic compounds;0.04;ppm
28/01/2015;09:55:00.900;carbon dioxide;394;ppm
28/01/2015;09:55:46.192;indoor relative humidity;35.0;%
28/01/2015;09:56:46.674;indoor relative humidity;35.0;%
28/01/2015;09:57:45.896;indoor relative humidity;35.0;%
28/01/2015;09:57:51.496;indoor temperature;21.4;°C
28/01/2015;09:57:54.107;volatile organic compounds;0.05;ppm
28/01/2015;09:57:59.227;carbon dioxide;394;ppm
28/01/2015;09:58:46.689;indoor relative humidity;35.0;%
28/01/2015;09:59:45.481;indoor relative humidity;35.0;%
28/01/2015;10:00:47.004;indoor relative humidity;34.0;%
28/01/2015;10:00:50.884;indoor temperature;21.4;°C
28/01/2015;10:00:55.494;volatile organic compounds;0.05;ppm
28/01/2015;10:01:01.014;carbon dioxide;396;ppm
28/01/2015;10:01:45.106;indoor relative humidity;34.0;%
28/01/2015;10:02:46.788;indoor relative humidity;34.0;%
28/01/2015;10:03:45.100;indoor relative humidity;34.0;%
